id_penerbit;nama_penerbit;tempat_penerbit
PE296;Syiah Kuala University Press;Informasi tidak tersedia
PE297;TAZAKKA PRESS;Informasi tidak tersedia
PE298;Tempo Publishing;Informasi tidak tersedia
PE299;TOHAR MEDIA;Informasi tidak tersedia
PE300;UAD PRESS;Informasi tidak tersedia
PE301;UB Media;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE302;UGM PRESS;Informasi tidak tersedia
PE303;UMMPress;Informasi tidak tersedia
PE303;UMMPress;Informasi tidak tersedia
PE303;UMMPress;Informasi tidak tersedia
PE303;UMMPress;Informasi tidak tersedia
PE304;umsu press;Informasi tidak tersedia
PE304;umsu press;Informasi tidak tersedia
PE305;Unhas Press;Informasi tidak tersedia
PE306;UNIDA GONTOR PRESS;Informasi tidak tersedia
PE307;Unisri Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE308;Universitas Brawijaya Press;Informasi tidak tersedia
PE309;Universitas Indonesia Publishing;Informasi tidak tersedia
PE309;Universitas Indonesia Publishing;Informasi tidak tersedia
PE310;UPI Press;Informasi tidak tersedia
PE311;UPT Percetakan dan Penerbitan Polinema;Informasi tidak tersedia
PE312;uwais inspirasi indonesia;Informasi tidak tersedia
PE312;Uwais Inspirasi Indonesia;Informasi tidak tersedia
PE312;uwais inspirasi indonesia;Informasi tidak tersedia
PE312;uwais inspirasi indonesia;Informasi tidak tersedia
PE312;Uwais Inspirasi Indonesia;Informasi tidak tersedia
PE312;Uwais Inspirasi Indonesia;Informasi tidak tersedia
PE312;Uwais Inspirasi Indonesia;Informasi tidak tersedia
